date,DIA,IWM,QQQ,SPY,VXX,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-01-04,104.84,63.29,46.32,112.37,33.22,33.58,57.92,14.52,28.09,23.14,26.45,,31.28,31.47,29.9
2010-01-05,105.61,63.88,46.38,113.26,32.76,34.08,58.89,14.67,28.28,23.3,26.69,,30.99,31.56,30.01
2010-01-06,105.5,63.76,46.39,113.52,32.0,34.14,59.32,14.95,28.35,23.24,26.65,,30.69,31.3,30.09
2010-01-07,105.38,63.74,46.2,113.5,31.2,34.54,59.74,15.02,28.43,23.0,26.74,,30.85,31.5,30.34
2010-01-08,105.67,63.94,46.04,113.89,30.6,34.36,59.7,15.23,28.8,22.86,26.6,,30.71,31.79,30.29
2010-01-11,106.4,64.78,46.6,115.08,29.3,35.36,60.69,15.37,29.45,23.14,26.56,,30.8,31.95,30.45
2010-01-12,105.85,63.86,46.08,113.97,29.67,34.23,59.3,15.11,29.32,22.82,26.54,,30.95,31.82,30.15
2010-01-13,106.33,63.78,45.93,113.95,29.8,34.16,59.32,15.01,29.28,22.8,26.8,,30.99,31.81,30.06
2010-01-14,106.64,64.14,46.26,114.49,29.58,34.45,59.56,15.13,29.41,22.9,26.94,,31.21,32.21,30.19
2010-01-15,106.94,64.65,46.46,114.73,29.01,34.01,59.67,15.16,29.35,23.02,26.94,,30.89,32.32,30.22
2010-01-19,105.9,63.92,45.96,113.62,29.65,33.85,59.1,14.88,29.17,22.71,26.84,,30.92,32.33,30.13
2010-01-20,106.5,64.39,46.27,114.28,28.44,33.9,59.16,15.03,29.07,22.87,26.88,,31.16,33.11,30.14
2010-01-21,105.97,63.96,46.06,113.92,27.8,33.77,58.92,15.08,28.92,22.75,26.71,,30.98,32.71,29.98
2010-01-22,103.38,62.76,45.34,111.2,29.75,32.18,57.39,14.61,28.3,22.4,26.25,,30.5,31.91,29.47
2010-01-25,102.39,62.08,44.39,110.21,30.91,31.9601,56.68,14.38,28.17,21.86,26.48,,30.1,31.98,29.21
2010-01-26,101.66,61.57,44.28,109.34,31.97,31.56,56.2,14.17,27.86,21.8,26.21,,30.0,31.54,29.02
2010-01-27,101.67,60.92,44.29,109.17,31.78,31.31,56.15,14.05,27.8,21.79,26.28,,30.15,31.37,29.22
2010-01-28,102.59,61.96,44.4,110.19,30.6,31.39,56.5,14.46,28.02,21.85,26.41,,29.9,31.8,29.39
2010-01-29,101.56,61.03,43.9,109.04,30.52,30.87,55.91,14.38,27.71,21.53,26.42,,29.71,31.6,29.16
2010-02-01,101.21,60.39,42.91,108.15,31.04,30.46,55.15,14.27,27.69,21.06,26.36,,29.56,31.33,28.97
2010-02-02,101.95,60.82,43.31,109.26,29.9,31.48,56.51,14.43,27.95,21.27,26.45,,29.79,31.55,29.35
2010-02-03,102.62,61.2,43.45,109.88,29.39,31.32,56.88,14.48,28.24,21.33,26.71,,29.7999,32.0,29.61
2010-02-04,101.95,60.66,43.58,108.98,29.75,30.66,56.1,14.27,27.96,21.33,26.51,,29.61,31.42,29.47
2010-02-05,100.15,59.17,42.75,106.56,31.92,30.01,54.22,13.86,27.38,20.89,26.0,,29.03,30.79,28.84
2010-02-08,100.0,59.08,42.92,106.74,32.66,30.54,54.25,13.97,27.27,21.1,26.05,,28.95,30.85,28.83
2010-02-09,100.16,59.38,43.17,107.13,32.54,30.45,54.48,13.83,27.2,21.21,26.19,,28.84,31.07,28.84
2010-02-10,100.55,59.31,43.1,107.05,32.43,30.76,54.89,13.82,27.44,21.21,26.28,,28.94,30.95,29.06
2010-02-11,100.42,59.46,43.01,106.87,32.4,30.49,54.53,13.91,27.35,21.1,26.22,,28.78,30.53,28.83
2010-02-12,100.53,60.0,43.27,106.99,32.75,30.48,54.9,13.78,27.42,21.17,26.26,,28.75,30.71,28.91
2010-02-16,102.01,61.66,44.08,108.86,30.75,31.36,56.3,14.05,27.86,21.49,26.5,,28.85,31.18,29.56
2010-02-17,103.16,62.33,44.5,110.27,29.57,31.95,57.06,14.35,28.43,21.78,26.79,,29.45,31.25,29.85
2010-02-18,103.17,62.47,44.54,110.08,29.2,31.63,56.76,14.23,28.29,21.73,26.89,,29.03,31.39,29.89
2010-02-19,103.7,62.74,44.76,110.62,28.24,31.87,56.93,14.29,28.68,21.76,27.05,,29.31,31.43,30.17
2010-02-22,104.38,63.42,45.01,111.55,26.77,32.41,57.5,14.51,29.0,21.93,27.2,,29.99,31.64,30.31
2010-02-23,103.61,63.16,44.69,110.86,26.99,32.05,56.3,14.58,28.81,21.76,27.03,,29.51,31.35,30.15
